ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_2485811_42_22__3_17_6,Brown Bella,3,4,1,2,1,2,3,4,1,3,3,2,1,2,0,1,1,1,0,3,1,4,4,3,4,0,3,1,2,2,2,1,0,0,2,0,4,1,0,1
ID_2485811_42_22__3_17_6,Wiener Walzer,4,2,1,4,0,2,4,4,3,4,3,1,3,2,0,0,0,4,2,4,1,2,2,2,2,0,4,3,4,4,2,1,0,4,3,0,5,4,0,2
ID_2485811_42_22__3_17_6,Tuborg Nul,2,1,4,5,1,3,1,1,0,1,2,6,1,2,0,0,0,2,1,1,1,5,2,1,4,0,3,4,3,1,0,0,2,2,3,0,2,1,0,3
ID_2485811_42_22__3_17_6,Aronia,5,1,4,5,3,4,5,4,1,4,1,1,4,3,0,1,0,2,1,4,0,1,2,1,1,0,4,4,4,3,3,0,1,3,3,3,3,5,0,3
ID_2485811_42_22__3_17_6,Tuborg Classic,4,3,2,3,0,1,3,3,1,2,3,3,4,4,0,2,0,3,1,3,0,3,4,3,5,0,4,3,2,2,1,0,0,1,1,0,3,3,0,1
ID_2485811_42_22__3_17_6,Angelina,4,2,1,4,0,1,3,4,2,3,3,1,3,2,0,0,0,3,3,4,3,2,2,4,2,1,3,3,3,3,0,2,0,2,2,0,4,4,0,3
ID_2485811_42_22__3_17_6,Sebastian,4,1,5,5,1,4,4,3,3,1,2,4,3,3,0,0,0,1,2,3,0,2,2,1,2,0,4,4,3,3,1,0,0,2,4,2,5,4,0,4
ID_2485811_42_22__3_17_6,Alexander,3,3,1,2,0,2,5,5,4,5,2,0,3,4,3,6,4,3,3,4,4,1,4,4,1,2,4,0,2,2,3,2,2,3,1,0,4,4,0,1
ID_2485811_42_22__3_17_6,Amigo,4,2,3,3,1,2,1,1,1,0,1,5,0,1,0,0,0,2,1,1,0,5,2,1,2,0,2,4,1,2,1,1,0,1,2,3,2,1,0,2
ID_2485811_42_22__3_17_6,Amarillo,4,2,3,3,1,1,4,4,1,4,2,1,4,4,0,2,2,3,2,4,1,1,4,3,2,0,4,4,3,2,3,1,0,3,2,3,4,4,0,2
