ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_4600746_56_45__15_4_12,Wiener Walzer,5,0,0,1,0,0,3,2,1,3,3,2,2,2,0,0,0,0,2,3,2,2,2,3,2,0,0,0,3,2,3,2,0,0,0,0,3,2,0,0
ID_4600746_56_45__15_4_12,Aronia,4,1,5,4,2,3,5,0,0,0,0,2,0,5,0,0,0,2,0,1,0,0,1,1,0,0,1,6,4,4,0,0,0,1,5,4,0,2,0,2
ID_4600746_56_45__15_4_12,Brown Bella,0,1,0,0,0,0,1,2,2,1,4,0,0,1,0,1,0,0,1,2,2,2,5,4,2,0,1,0,1,0,2,4,0,0,0,0,2,1,0,0
ID_4600746_56_45__15_4_12,Angelina,4,2,0,3,0,1,2,1,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,1,0,1,3,2,4,0,0,0,4,3,0,0,2,0,2
ID_4600746_56_45__15_4_12,Tuborg Nul,1,3,2,1,5,2,0,0,0,0,1,6,0,0,0,0,0,3,0,1,0,4,0,1,0,0,2,3,0,0,0,0,0,0,1,1,0,0,0,5
ID_4600746_56_45__15_4_12,Alexander,1,1,0,0,0,2,4,4,4,3,4,0,1,4,3,1,2,0,2,4,3,1,2,3,1,1,0,0,1,1,3,3,1,0,0,0,4,2,0,0
ID_4600746_56_45__15_4_12,Tuborg Classic,0,4,4,2,3,4,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,4,2,2,0,0,2,4,2,1,0,0,0,1,2,4,0,2,0,2
ID_4600746_56_45__15_4_12,Amarillo,2,4,2,3,2,4,0,2,0,0,3,1,1,3,0,0,0,1,1,2,0,4,3,2,2,0,4,1,1,0,0,0,0,0,2,1,0,2,0,4
ID_4600746_56_45__15_4_12,Sebastian,3,2,3,3,2,3,0,0,0,0,1,1,1,3,0,0,0,3,2,3,0,0,1,2,2,0,2,2,3,2,0,0,0,3,3,3,0,2,0,2
ID_4600746_56_45__15_4_12,Amigo,0,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,1,1,3,1,2,3,0,2,1,1,1,0,0,0,0,0,1,0,0,0,1
