ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_2401878_59_17__14_1_12,Brown Bella,4,1,0,1,1,3,4,4,3,4,3,0,5,5,4,3,2,0,0,4,2,2,2,4,0,6,5,1,5,4,6,4,1,4,2,1,6,4,2,5
ID_2401878_59_17__14_1_12,Wiener Walzer,2,2,3,3,4,5,1,1,0,1,4,2,1,4,0,4,0,2,4,3,2,3,4,4,3,0,6,4,2,3,3,0,2,0,0,3,3,4,1,5
ID_2401878_59_17__14_1_12,Tuborg Nul,1,4,4,1,1,4,0,0,0,0,4,6,0,1,0,5,0,0,4,1,2,6,2,5,3,0,5,4,0,0,0,1,0,0,5,2,3,0,2,5
ID_2401878_59_17__14_1_12,Aronia,1,3,6,6,6,6,2,2,0,1,2,4,1,1,0,0,0,2,0,5,0,0,0,3,0,0,2,6,1,1,0,0,1,2,4,6,1,0,1,6
ID_2401878_59_17__14_1_12,Tuborg Classic,2,1,3,4,1,3,2,3,0,1,3,3,2,1,1,1,0,0,2,3,4,3,4,4,3,0,4,1,3,3,0,1,2,1,1,3,3,2,4,3
ID_2401878_59_17__14_1_12,Angelina,5,5,5,4,4,4,4,2,2,4,2,3,1,4,5,0,0,3,5,2,4,1,1,4,0,0,6,4,0,3,1,0,2,2,1,4,4,0,1,5
ID_2401878_59_17__14_1_12,Sebastian,4,3,5,2,3,5,1,2,0,2,3,2,4,2,1,1,0,0,4,4,2,0,4,5,3,1,5,4,4,4,0,1,4,1,2,2,1,3,3,5
ID_2401878_59_17__14_1_12,Alexander,5,5,0,2,4,3,6,6,6,6,1,2,5,4,6,5,3,3,3,5,4,0,1,1,0,6,4,0,5,6,5,5,4,2,4,2,6,5,4,4
ID_2401878_59_17__14_1_12,Amigo,4,4,5,4,3,4,4,3,0,3,3,6,2,2,1,3,0,0,3,4,3,1,2,4,0,0,5,4,0,0,0,1,0,2,6,5,1,1,2,5
ID_2401878_59_17__14_1_12,Amarillo,4,4,5,4,4,5,3,3,0,3,2,2,4,3,4,3,0,2,5,4,3,1,3,5,1,0,6,4,4,4,1,0,1,1,3,2,1,4,4,4
